"QUESTION","ANSWER_A","ANSWER_B","ANSWER_C","ANSWER_D","ANSWERS","IMAGE"
"Kaip virtualią mašiną apibrėžia G. J. Popek ir R. P. Goldberg (1974 m.)?","Tai yra debesų kompiuterijos platforma, skirta duomenų saugojimui.","Tai efektyvi, izoliuota tikros kompiuterio mašinos kopija.","Tai programinė įranga, leidžianti atidaryti tik vienos rūšies failus.","Tai fizinis serveris, padalintas į atskirus kietuosius diskus.","B",""
"Kodėl nuo 2000 m. virtualios mašinos tapo itin aktualios?","Dėl sumažėjusios procesorių spartos.","Nes nebeliko poreikio naudoti operacines sistemas.","Dėl saugumo spragų OS, išaugusios izoliuotų sistemų svarbos ir debesų kompiuterijos populiarėjimo.","Nes visi vartotojai perėjo prie vienos standartinės operacinės sistemos.","C",""
"Koks yra pagrindinis skirtumas tarp emuliacijos ir virtualizacijos?","Emuliacija imituoja aparatūrą (hardware) programine įranga, o virtualizacija kompiuterio fizinius resursus padalina nepriklausomoms aplinkoms.","Emuliacija visada reikalauja debesų kompiuterijos, o virtualizacija veikia tik lokaliai.","Virtualizacija ir emuliacija atlieka identišką funkciją – abu metodai imituoja aparatūrą programine įranga.","Nėra jokio skirtumo, tai yra sinonimai.","A",""
"Kuris iš šių įrankių yra „Android“ operacinės sistemos emuliatorius, skirtas „Windows“?","DOSBox","QEMU","BlueStacks","MS Azure VM","C",""
"Kokia yra DOSBox emuliatoriaus paskirtis?","Virtualizuoti modernius Linux serverius.","Emuliuoti DOS aplinką, kad būtų galima paleisti senas programas moderniose OS.","Kurti Docker konteinerius.","Pagerinti žaidimų grafiką šiuolaikinėse konsolėse.","B","https://upload.wikimedia.org/wikipedia/commons/8/89/DOSBox_v0.74-3_running_on_Windows_10.png"
"Kurie iš šių punktų yra emuliacijos privalumai?","Programa gali veikti ant visiškai kitos procesoriaus architektūros kompiuterio.","Fiziniai kompiuterio resursai visada pasiekiami tiesiogiai.","Nereikia turėti originalių fizinių įrenginių (ypač senų).","Emuliacija reikalauja žymiai mažiau RAM nei virtualizacija.","A,C",""
"Koks yra pagrindinis emuliacijos trūkumas?","Ji yra nelegali visose pasaulio šalyse.","Visiška aparatūros emuliacija užima per daug vietos kietajame diske.","Fiziniai resursai nepasiekiami tiesiogiai, todėl ji veikia lėčiau ir reikalauja daugiau resursų.","Emuliatoriai gali paleisti tik tekstines programas be grafikos.","C",""
"Kas apibūdina 1-ojo tipo (angl. bare-metal) virtualizaciją?","Virtuali mašina veikia interneto naršyklėje.","Sistemos prižiūryklė (hypervisor) yra įdiegta tiesiogiai techninės įrangos (hardware) lygmenyje.","Sistemos prižiūryklė (hypervisor) veikia kaip paprasta programa operacinėje sistemoje.","Šio tipo virtualizacija nenaudoja procesoriaus resursų.","B","https://upload.wikimedia.org/wikipedia/commons/2/27/Hyperviseur.png"
"Kas apibūdina 2-ojo tipo (angl. hosted) virtualizaciją?","Sistemos prižiūryklė (hypervisor) yra operacinės sistemos lygmenyje, veikia kaip standartinė programa.","Ji skirta tik senoms DOS programoms paleisti.","Ji nenaudoja operacinės sistemos (OS).","Hipervizorius įdiegiamas tiesiai į kompiuterio BIOS.","A",""
"Kuriam virtualizacijos tipui priskiriamas įrankis „VirtualBox“?","1 tipo (bare-metal).","2 tipo (hosted).","Konteinerizacijai.","Debesų virtualizacijai.","B","https://upload.wikimedia.org/wikipedia/commons/a/ab/VirtualBox_icon.svg"
"Kurie iš šių punktų yra virtualizacijos privalumai (lyginant su emuliacija)?","Fiziniai resursai pasiekiami tiesiogiai.","Galima virtualizuoti visiškai kitos (nesutampančios) architektūros sistemą nesumažinant greičio.","Efektyvesnis procesoriaus ir atminties resursų išnaudojimas (didesnis greitis).","Suderinamumas paleisti kelias OS vienu metu ant tos pačios architektūros.","A,C,D",""
"Koks yra vienas pagrindinių virtualizacijos trūkumų (išskiriantis ją nuo emuliacijos)?","Sunaudoja daugiau elektros energijos nei emuliatoriai.","Virtualios mašinos architektūra privalo sutapti su pagrindinio kompiuterio architektūra (negali skirtis CPU architektūra).","Neleidžia naudotis kompiuterio pele.","Veikia tik be interneto ryšio.","B",""
"Ką skaidrės sako apie senų konsolių (SEGA, Nintendo ir pan.) emuliatorių legalumą?","Visi emuliatoriai be išimties yra nelegalūs.","Legalumas priklauso nuo licencijų, autorinių teisių ir ROM failų gavimo būdo (patys emuliatoriai kaip programos nėra nelegalūs).","Žaisti emuliuotus žaidimus galima tik savaitgaliais.","Tai legalu tik tuomet, jei žaidimo kodas yra perrašytas iš naujo.","B",""
"Kokią saugumo naudą teikia virtualios mašinos (VM)?","Jos automatiškai ištrina visus kompiuterio virusus.","Virusu pažeista virtuali mašina nekenkia pagrindiniam kompiuteriui, nes ji yra izoliuota.","VM neleidžia atsisiųsti jokių failų iš interneto.","VM užšifruoja vartotojo klaviatūros paspaudimus.","B",""
"Kas yra Sistemų VM (System VM)?","Virtuali mašina, pritaikyta tik vienos programos paleidimui.","Kai suderinamos kelios fizinės saugyklos į vieną.","Virtuali aplinka, imituojanti visą fizinį kompiuterį su pilna operacine sistema.","Tai debesų kompiuterijos serveris, prieinamas tik per API.","C",""
"Kokia yra Procesų VM (Process VM) paskirtis?","Apjungti kelis kietuosius diskus.","Pritaikyta atlikti tik vieną konkretų procesą arba paleisti vieną programą skirtingose OS.","Virtualizuoti kompiuterio monitorių.","Valdyti visą sistemų tinklą.","B",""
"Koks virtualizacijos įrankis dažniausiai asocijuojamas su konteinerizacija?","VirtualBox","VMware","Docker","DOSBox","C","https://upload.wikimedia.org/wikipedia/commons/4/4e/Docker_%28container_engine%29_logo.svg"
"Kuo konteinerizacija (pvz., Docker) iš esmės skiriasi nuo tradicinių VM?","Konteineriuose nenaudojamas RAM.","Konteineriai nelaiko visos atskiros virtualizuotos OS; procesai yra izoliuoti, bet dalijasi pagrindinio kompiuterio OS branduoliu (kernel).","Konteineriai skirti tik „Windows“ aplinkai.","Konteineriams reikalingas fizinis USB raktas paleidimui.","B",""
"Ką įprastai talpina vienas „Docker“ konteineris?","Penkias skirtingas operacines sistemas.","Vieną programą (arba mikroservisą) su visomis reikalingomis ją paleisti bibliotekomis ir priklausomybėmis.","Visą vartotojo kompiuterio atsarginę kopiją (backup).","Tik tekstinius log failus.","B",""
"Kaip programinės įrangos licencijavimas taikomas virtualioms mašinoms?","Turint vieną OS licenciją, galima ją legaliai įdiegti tūkstantyje VM nemokamai.","Virtualios mašinos niekada nereikalauja licencijų, nes jos nėra fiziniai įrenginiai.","Reikia skaityti gamintojų taisykles, nes kiekvienai aktyviai OS virtualioje mašinoje dažniausiai reikalinga atskira licencija.","Licencijos kaina priklauso tik nuo interneto greičio.","C",""
"Pagal skaidrėse pateiktą praktinį VM pavyzdį (Web projekto kūrimas), kodėl programuotojas renkasi naudoti virtualią mašiną vietoj to, kad diegtų programinę įrangą (PHP, MySQL, Node) tiesiai savo „Windows“ kompiuteryje?","Kad kompiuteris nenaudotų elektros.","Kad išlaikytų švarią pagrindinę OS (neterštų asmeninio kompiuterio), o visa projekto aplinka būtų izoliuota ir lengvai išjungiama/pašalinama.","Kadangi PHP ir MySQL apskritai negali veikti jokiame „Windows“ kompiuteryje.","Norėdamas sulėtinti kodo vykdymą testavimo tikslais.","B",""
"Kas yra „Host OS“ (Pagrindinė operacinė sistema) virtualizacijos kontekste?","Tai operacinė sistema, įdiegta fiziniame kompiuteryje, ant kurios veikia hipervizoriaus programa ir virtualios mašinos.","Tai sistema, kuri veikia virtualios mašinos viduje.","Tai programa, skirta kurti tekstinius dokumentus.","Tai speciali naršyklė virtualioms aplinkoms.","A",""
"Kas yra „Guest OS“ (Svečio operacinė sistema)?","Operacinė sistema, kuri dalijasi tik USB prievadais.","Pagrindinė sistema, įdiegta kompiuterio motininėje plokštėje.","Tai operacinė sistema, kuri yra įdiegta ir veikia virtualios mašinos (VM) aplinkos viduje.","Tai antivirusinė programa, prižiūrinti VM.","C",""
"Kokios debesų kompiuterijos virtualizacijos platformos minimos skaidrėse?","SteamOS ir PlayStation Network.","MS Azure VM ir Google Compute Engine.","Dropbox ir Google Drive.","Adobe Creative Cloud.","B",""
"Ką reiškia terminas „Saugyklų virtuali mašina“ (Storage VM)?","Ji leidžia debesyje žaisti žaidimus.","Tai fizinių USB laikmenų emuliatorius telefonuose.","Tai technologija, kurios pagalba kelios skirtingos fizinės saugyklos sujungiamos į vieną bendrą virtualią saugyklą.","Tai RAM atminties modulis, veikiantis kaip kietasis diskas.","C",""
"Kaip praktiškai galima perkelti savo sukurtą virtualią mašiną (su visomis nustatytomis programomis) į kitą kompiuterį?","Perkelti fizinį procesorių iš vieno kompiuterio į kitą.","Išsaugoti VM kaip atvaizdą (image) ir jį perrašius paleisti kitame kompiuteryje (pvz., iš USB).","Reikia perrašyti visą kompiuterio „Windows“ sistemą.","VM perkelti yra techniškai neįmanoma, ji susieta su konkrečiu monitoriumi.","B",""
"Kaip kompiuterio našumas reaguoja į 2 tipo virtualizaciją esant didelei apkrovai?","Našumas visada išlieka 100% stabilus nepaisant nieko.","Virtualios mašinos niekada neveikia esant apkrovai.","Atsiranda našumo stabilumo problemų – didelė pagrindinio kompiuterio apkrova lėtina ir virtualios mašinos (arba atvirkščiai) darbą.","Apkrova padidina kompiuterio atmintį.","C",""
"Koks yra pagrindinis reikalavimas virtualizuotos operacinės sistemos (Guest OS) procesoriaus architektūrai (lyginant su Host OS)?","Ji privalo būti senesnė nei 10 metų.","Svečio OS architektūra turi būti lygiai tokia pati (arba suderinama) kaip ir pagrindinio kompiuterio aparatūros architektūra.","Ji privalo būti išversta į lietuvių kalbą.","Svečio OS visada turi veikti ARM architektūroje.","B",""
"Kas atsitinka, kai virtuali mašina (naudojanti 2 tipo hipervizorių) yra pilnai išjungiama?","Išsitrinti visi asmeniniai kompiuterio failai.","Sugenda kompiuterio monitorius.","Ji nustoja naudoti pagrindinio kompiuterio resursus (RAM, CPU skaičiavimo laiką), atlaisvindama juos kitoms programoms.","Virtualizacijos programinė įranga automatiškai išsiunčia pranešimą gamintojui.","C",""
"Kaip „Docker“ konteinerizacija išsprendžia „pas mane kompiuteryje programa veikia, o pas tave ne“ problemą?","Sunaikina programuotojų kompiuterius.","Priverčia visus programuotojus pirkti lygiai tokius pačius fizinius kompiuterius.","Programa veikia visiškai izoliuotoje standartizuotoje aplinkoje (konteineryje) su visomis reikiamos versijos bibliotekomis, todėl konteinerį paleidus bet kuriame kitame kompiuteryje ar serveryje, programa veiks identiškai.","Išverčia programos kodą į dvejetainį kodą automatiškai.","C",""
